BEGINING,TEST,HERE
Accuarcy Avg,44.79509649739545,N/A
Accuarcy,"[43.66597250569095, 46.14862593969319, 45.07893153969458, 43.14405847724758, 43.07588080542437, 44.62065478970733, 43.786345960710634, 44.57871131177812, 45.85290441767249, 44.43261059881186, 43.22521216900048, 44.94790721150055, 44.904250459862446, 46.91268591301017, 45.82597974210515, 47.74849656549846, 43.278179365895, 44.73947473710819, 44.901605979343465, 46.27253791336796, 45.048780601074, 43.302315938503035]",N/A
Precision,0.03615406324968942,N/A
=====,=====,=====
"(586, 408)","(684, 407)","(735.7726957726957, 663)"
"(585, 407)","(683, 407)","(724.693657219973, 621)"
"(586, 407)","(684, 407)","(742.6925675675675, 651)"
"(585, 407)","(683, 406)","(741.5229729729729, 591)"
"(584, 407)","(684, 406)","(749.121052631579, 661)"
"(584, 406)","(682, 405)","(760.1410256410257, 608)"
"(584, 406)","(683, 406)","(747.6967105263159, 649)"
"(584, 406)","(683, 406)","(747.6967105263159, 649)"
"(585, 407)","(684, 405)","(733.0144736842107, 583)"
"(584, 406)","(681, 405)","(697.4144736842105, 608)"
"(584, 406)","(682, 406)","(726.1941678520626, 656)"
"(585, 405)","(684, 405)","(752.3419958419959, 589)"
"(584, 406)","(682, 406)","(723.5506072874495, 726)"
"(585, 405)","(683, 406)","(741.5229729729729, 608)"
"(585, 406)","(684, 405)","(758.65991902834, 608)"
"(584, 406)","(683, 405)","(740.7931848852902, 602)"
"(585, 406)","(683, 405)","(729.3383458646616, 644)"
"(585, 405)","(683, 405)","(741.5229729729729, 648)"
"(586, 405)","(682, 405)","(733.7352737352738, 567)"
"(584, 405)","(683, 406)","(743.8894025604552, 608)"
"(585, 406)","(684, 406)","(754.5405405405404, 685)"
"(584, 406)","(684, 405)","(738.8538461538462, 619)"
Accuarcy Avg,20.23849676340491,N/A
Accuarcy,"[22.926734646683233, 17.63921257970614, 22.307929858201653, 17.13247889005904, 23.84968258989316, 20.534199761781963, 22.575247073471044, 22.575247073471044, 15.537783707241822, 13.575381328302019, 21.410825932342167, 18.39427692433162, 28.95321902549757, 18.342326024610955, 20.358538664388895, 17.800465818532132, 20.405007689748153, 21.908724091642824, 14.824454786974782, 18.618243701168847, 26.627417352518343, 18.949531274340565]",N/A
Precision,0.01260758378089511,N/A
=====,=====,=====
"(589, 405)","(687, 405)","(795.5627530364372, 541)"
"(588, 405)","(688, 405)","(786.5868421052631, 589)"
"(589, 405)","(688, 405)","(779.8144399460189, 618)"
"(588, 405)","(686, 404)","(761.219298245614, 551)"
"(589, 406)","(688, 405)","(786.3631578947368, 582)"
"(588, 406)","(688, 406)","(753.8473684210527, 660)"
"(588, 406)","(688, 406)","(773.7352737352737, 649)"
"(588, 405)","(688, 406)","(790.0942480942482, 656)"
"(588, 405)","(687, 406)","(789.4750519750521, 656)"
"(589, 405)","(688, 406)","(779.8144399460189, 656)"
"(590, 405)","(689, 406)","(793.6358974358975, 628)"
